,Deck,MM_WINS,MM_SCORES,MR_WINS,MR_SCORES,RM_WINS,RM_SCORES,RR_WINS,RR_SCORES
0,0,31.82,-1.907,96.8,13.9196,4.52,-8.952,66.06,5.3268
1,1,0.64,-15.7046,80.98,6.0078,0.0,-21.2372,17.86,-7.3714
2,2,97.44,4.6348,99.82,13.3494,8.5,-12.8352,75.18,5.3284
3,3,95.1,2.0452,99.6,16.0892,5.9,-13.8036,75.5,3.9912
4,4,19.62,-3.01,91.56,10.5052,0.62,-9.7458,36.58,0.2124
5,5,10.46,-4.5594,99.72,17.2348,0.68,-8.746,60.96,5.131
6,6,8.14,-4.0696,97.78,12.6212,0.44,-15.3772,52.58,1.265
7,7,1.44,-4.1972,87.38,11.7908,0.36,-7.4338,51.8,3.1778
8,8,50.28,2.7468,98.2,15.661,11.94,-4.2008,66.9,5.0156
9,9,100.0,13.8104,100.0,17.1368,68.94,1.3092,98.12,12.0802
10,10,6.72,-5.983,92.06,11.5914,0.1,-14.1498,31.92,-3.4792
11,11,98.3,5.862,99.84,15.4576,12.74,-6.9354,79.96,7.6142
12,12,19.38,-1.6368,98.86,16.4228,0.72,-13.4066,62.96,3.5408
13,13,24.04,0.2854,99.52,17.6342,0.36,-16.918,61.42,2.8076
14,14,99.92,11.976,100.0,19.061,43.76,-4.1376,92.56,10.005
15,15,99.84,14.2118,100.0,20.3258,48.94,-1.8316,92.5,12.1572
16,16,99.92,15.8728,100.0,23.5902,57.3,2.475,99.0,17.0376
17,17,31.2,0.3106,85.52,12.7374,1.02,-14.3948,41.12,-0.1696
18,18,99.94,15.6864,100.0,22.6546,47.78,-0.4624,92.16,11.5614
19,19,80.62,8.4746,99.72,15.0994,6.72,-6.3138,74.42,5.3562
20,20,18.88,-0.8982,98.62,13.9466,2.94,-17.1594,72.32,4.6218
21,21,92.62,6.7792,99.68,21.1386,5.8,-15.985,73.6,5.8862
22,22,3.12,-17.8488,89.16,11.3918,0.22,-22.4364,37.04,-4.2128
23,23,74.38,4.9206,99.48,17.2032,2.78,-15.2084,66.86,2.8168
24,24,23.94,-1.435,99.16,14.7846,2.76,-17.6404,67.84,1.6742
25,25,82.18,3.5044,99.78,16.2634,2.94,-14.5784,80.4,5.8938
26,26,2.48,-14.9726,76.68,3.4092,0.06,-17.4214,15.42,-9.7486
27,27,99.96,17.9406,99.98,23.5452,28.38,-4.8914,91.06,11.4214
28,28,4.9,-12.734,89.9,9.4996,0.06,-15.926,23.2,-5.0416
29,29,0.78,-12.9272,84.56,9.39,0.02,-18.3986,41.06,-3.2484
30,30,0.0,-20.8038,7.64,-12.8174,0.0,-27.9708,0.68,-20.1302
31,31,0.0,-19.9212,10.26,-11.8972,0.0,-19.9792,0.28,-17.332
32,32,0.24,-8.4696,76.26,6.109,0.0,-22.5852,14.44,-7.517
33,33,97.5,12.4,100.0,16.9224,8.82,-7.3936,81.96,8.538
34,34,97.74,2.2764,99.92,14.3212,24.46,-10.2038,77.44,4.777
35,35,2.54,-3.7916,91.16,9.2384,0.86,-8.756,53.26,2.116
36,36,97.62,10.5816,99.98,15.7924,7.74,-12.455,74.98,5.3992
37,37,0.78,-15.634,87.68,9.4028,0.0,-17.368,34.66,-3.774
38,38,0.02,-18.615,45.84,-1.4272,0.0,-23.8512,5.22,-12.3808
39,39,91.26,9.3314,99.98,19.8324,13.26,-7.0234,85.86,10.7568
40,40,62.98,0.9308,96.78,13.8788,2.42,-14.1056,45.28,-1.5898
41,41,81.38,2.0682,99.84,13.8846,2.86,-9.8818,79.66,5.2398
42,42,100.0,17.751,100.0,27.2536,90.78,7.558,99.52,17.1796
