iter	RMSE
0	0.3437845739
1	0.3361024915
2	0.3287669026
3	0.3220035803
4	0.3157761101
5	0.3100470593
6	0.303197378
7	0.2968858254
8	0.2910514142
9	0.2856093679
10	0.2805662322
11	0.275931438
12	0.2715756003
13	0.2676491702
14	0.2640677737
15	0.2606122169
16	0.2574989131
17	0.2546142752
18	0.2518821314
19	0.2494161715
20	0.2471857069
21	0.2450545087
22	0.2431214428
23	0.2413415204
24	0.2397186302
25	0.2381935671
26	0.2365907739
27	0.2354042676
28	0.2342729458
29	0.2330499261
30	0.2319449129
31	0.2308846046
32	0.2297816764
33	0.2289578809
34	0.227992584
35	0.2271942995
36	0.2263109248
37	0.2254709565
38	0.2249190637
39	0.2241515044
40	0.2234646129
41	0.2228841604
42	0.2222771382
43	0.2218399424
44	0.2213049116
45	0.2207185696
46	0.2201902804
47	0.2197034485
48	0.2193538414
49	0.2188900831
50	0.2184120422
51	0.2179643439
52	0.2174497128
53	0.2171030026
54	0.2165983763
55	0.216275121
56	0.2158042291
57	0.2153713395
58	0.2149881771
59	0.2145981727
60	0.2141830222
61	0.2139155305
62	0.2135680074
63	0.2132340059
64	0.2128473864
65	0.2124922438
66	0.2123162785
67	0.2120967958
68	0.2117443511
69	0.2114280759
70	0.211220983
71	0.2108767589
72	0.210573343
73	0.2101955248
74	0.2099662276
75	0.209752463
76	0.2095006441
77	0.2093018309
78	0.2091280343
79	0.2088379236
80	0.208660006
81	0.2085001542
82	0.2083187307
83	0.2079270865
84	0.2077527956
85	0.2075575525
86	0.2073595503
87	0.2072137712
88	0.2070539806
89	0.2068765703
90	0.2065805281
91	0.2063560473
92	0.2061426894
93	0.2059649307
94	0.2056972032
95	0.2054949555
96	0.2052662545
97	0.2050951294
98	0.2048065033
99	0.2045695542
100	0.2043794358
101	0.2042482786
102	0.2040889098
103	0.2038482929
104	0.2035859927
105	0.2033689048
106	0.2031781859
107	0.2030172523
