iter	Passed	Remaining
0	1981	1979613
1	3053	1523677
2	4877	1621092
3	6697	1667558
4	8512	1694010
5	10206	1690873
6	17441	2474253
7	25300	3137271
8	32550	3584121
9	39741	3934412
10	47510	4271641
11	56606	4660577
12	63188	4797451
13	71466	5033256
14	79711	5234410
15	88669	5453184
16	98203	5678472
17	105615	5761932
18	114628	5918463
19	123049	6029417
20	129938	6057628
21	139529	6202730
22	147528	6266764
23	154446	6280818
24	161933	6315393
25	167434	6272366
26	176673	6366774
27	182717	6342911
28	189345	6339810
29	195254	6313222
30	201891	6310743
31	208861	6318062
32	215299	6308913
33	222341	6317115
34	228972	6313106
35	236086	6321875
36	243198	6329725
37	251467	6366106
38	257503	6345158
39	265749	6377999
40	272270	6368474
41	280506	6398211
42	288314	6416663
43	293994	6387690
44	301590	6400422
45	310316	6435702
46	318080	6449595
47	325713	6459978
48	332052	6444527
49	339564	6451721
50	346146	6441048
51	354740	6467187
52	362610	6479091
53	369973	6481384
54	379855	6526601
55	387428	6530940
56	397195	6571141
57	405482	6585591
58	414024	6603338
59	421335	6600930
60	431053	6635402
61	438715	6637342
62	447230	6651665
63	454575	6648163
64	464314	6678990
65	474085	6709029
66	481528	6705468
67	488741	6698637
68	497880	6717784
69	504891	6707838
70	512491	6705697
71	520528	6709037
72	527422	6697540
73	535849	6705361
74	543818	6707100
75	551925	6710250
76	559177	6702862
77	566529	6696672
78	574575	6698534
79	583425	6709392
80	591195	6707513
81	598757	6703163
82	605799	6692988
83	615572	6712672
84	622108	6696817
85	629573	6691048
86	637155	6686469
87	643608	6670120
88	651391	6667611
89	658765	6660851
90	666239	6655071
91	673867	6650778
92	680768	6639323
93	688204	6633119
94	696192	6632152
95	704451	6633587
96	711455	6623136
97	718637	6614397
98	726079	6608056
99	733559	6602037
100	741931	6603928
101	750123	6604028
102	757541	6597234
103	766719	6605583
104	776108	6615403
105	783946	6611776
106	792583	6614736
107	800540	6611875
