,Alex,Bob,Win,Hand,Deck
0,0,0,0,0,0
1,1,0,0,1,0
2,2,0,0,1,0
3,1,2,0,2,0
4,1,3,0,2,0
5,2,1,0,2,0
6,2,2,0,2,0
7,3,1,0,2,0
8,1,2,0,3,0
9,1,3,0,3,0
10,1,4,0,3,0
11,2,1,0,3,0
12,2,2,0,3,0
13,2,3,0,3,0
14,3,1,0,3,0
15,3,2,0,3,0
16,4,1,0,3,0
17,2,4,0,4,0
18,2,5,0,4,0
19,3,3,0,4,0
20,3,4,0,4,0
21,4,2,0,4,0
22,4,3,0,4,0
23,5,1,0,4,0
24,5,2,0,4,0
25,6,1,0,4,0
26,2,5,0,5,0
27,2,6,0,5,0
28,3,4,0,5,0
29,3,5,0,5,0
30,3,6,0,5,0
31,4,3,0,5,0
32,4,4,0,5,0
33,4,5,0,5,0
34,5,2,0,5,0
35,5,3,0,5,0
36,5,4,0,5,0
37,6,1,0,5,0
38,6,2,0,5,0
39,6,3,0,5,0
40,0,0,1,5,0
41,0,0,2,5,0
42,0,0,0,0,1
43,1,1,0,1,1
44,1,2,0,1,1
45,2,0,0,1,1
46,2,1,0,1,1
47,3,0,0,1,1
48,1,2,0,2,1
49,1,3,0,2,1
50,1,4,0,2,1
51,2,1,0,2,1
52,2,2,0,2,1
53,2,3,0,2,1
54,3,0,0,2,1
55,3,1,0,2,1
56,3,2,0,2,1
57,4,0,0,2,1
58,4,1,0,2,1
59,5,0,0,2,1
60,1,5,0,3,1
61,1,6,0,3,1
62,2,4,0,3,1
63,2,5,0,3,1
64,3,3,0,3,1
65,3,4,0,3,1
66,4,2,0,3,1
67,4,3,0,3,1
68,5,1,0,3,1
69,5,2,0,3,1
70,6,1,0,3,1
71,1,6,0,4,1
72,2,5,0,4,1
73,2,6,0,4,1
74,3,4,0,4,1
75,3,5,0,4,1
76,3,6,0,4,1
77,4,3,0,4,1
78,4,4,0,4,1
79,4,5,0,4,1
80,4,6,0,4,1
81,5,2,0,4,1
82,5,3,0,4,1
83,5,4,0,4,1
84,5,5,0,4,1
85,6,1,0,4,1
86,6,2,0,4,1
87,6,3,0,4,1
88,6,4,0,4,1
89,0,0,1,4,1
90,0,0,2,4,1
91,4,6,0,5,1
92,5,5,0,5,1
93,5,6,0,5,1
94,6,4,0,5,1
95,6,5,0,5,1
96,6,6,0,5,1
97,0,0,1,5,1
98,0,0,2,5,1
99,0,0,0,0,2
100,2,1,0,1,2
101,3,0,0,1,2
102,3,2,0,2,2
103,3,3,0,2,2
104,4,1,0,2,2
105,4,2,0,2,2
106,5,0,0,2,2
107,5,1,0,2,2
108,6,0,0,2,2
109,3,4,0,3,2
110,3,5,0,3,2
111,4,3,0,3,2
112,4,4,0,3,2
113,5,2,0,3,2
114,5,3,0,3,2
115,6,1,0,3,2
116,6,2,0,3,2
117,0,0,1,3,2
118,3,4,0,4,2
119,3,5,0,4,2
120,3,6,0,4,2
121,4,3,0,4,2
122,4,4,0,4,2
123,4,5,0,4,2
124,5,2,0,4,2
125,5,3,0,4,2
126,5,4,0,4,2
127,6,1,0,4,2
128,6,2,0,4,2
129,6,3,0,4,2
130,0,0,1,4,2
131,4,6,0,5,2
132,5,5,0,5,2
133,5,6,0,5,2
134,6,4,0,5,2
135,6,5,0,5,2
136,0,0,1,5,2
137,0,0,2,5,2
138,0,0,0,0,3
139,0,1,0,1,3
140,0,2,0,1,3
141,1,0,0,1,3
142,1,1,0,1,3
143,1,2,0,1,3
144,2,0,0,1,3
145,2,1,0,1,3
146,3,0,0,1,3
147,0,3,0,2,3
148,1,2,0,2,3
149,2,1,0,2,3
150,3,0,0,2,3
151,0,3,0,3,3
152,0,4,0,3,3
153,1,2,0,3,3
154,1,3,0,3,3
155,2,1,0,3,3
156,2,2,0,3,3
157,3,0,0,3,3
158,3,1,0,3,3
159,4,0,0,3,3
160,0,3,0,4,3
161,0,4,0,4,3
162,1,2,0,4,3
163,1,3,0,4,3
164,1,4,0,4,3
165,2,1,0,4,3
166,2,2,0,4,3
167,2,3,0,4,3
168,3,0,0,4,3
169,3,1,0,4,3
170,3,2,0,4,3
171,4,0,0,4,3
172,4,1,0,4,3
173,5,0,0,4,3
174,0,6,0,5,3
175,1,4,0,5,3
176,1,5,0,5,3
177,1,6,0,5,3
178,2,3,0,5,3
179,2,4,0,5,3
180,2,5,0,5,3
